branch_id,status,matched_im2_branch_id,points_original,mean_residual_mm,median_residual_mm,p90_residual_mm,max_residual_mm
0,single_view_preserved,,298,6.134,6.066,10.681,11.719
1,single_view_preserved,,197,12.726,13.781,14.461,14.615
2,single_view_preserved,,220,21.091,25.868,28.399,28.579
3,reliable,1,159,0.717,0.584,1.317,3.371
4,reliable,7,144,2.089,1.548,5.115,7.388
5,usable,0,130,3.993,4.223,6.34,7.318
6,reliable,2,88,0.497,0.518,0.716,0.971
7,reliable,5,61,1.045,0.829,2.087,2.243
8,reliable,1,65,2.447,2.764,3.625,3.718
9,single_view_preserved,,58,14.131,15.49,23.052,25.225
10,single_view_preserved,,36,15.873,16.878,27.171,29.763
11,reliable,7,34,2.074,2.139,2.387,2.402
12,reliable,8,40,0.769,0.686,1.527,1.668
13,reliable,5,27,0.761,0.688,1.455,1.678
14,single_view_preserved,,23,14.103,15.076,24.59,26.807
