edge_id,sample_index,start_node,end_node,x_mm,y_mm,z_mm,ray_residual_mm,view_a_y,view_a_x,view_b_y,view_b_x
ostium_to_C0,0,ostium,C0,-24.43987059646229,-45.336688928035315,-13.465873950954716,13.678202250454353,58.0,77.0,77.0,196.0
ostium_to_C0,1,ostium,C0,-24.42579637940816,-45.30825495521407,-13.429435490853567,13.425732602491799,58.0,78.1497897339177,77.87506905708484,195.12493094291517
ostium_to_C0,2,ostium,C0,-24.38477104283563,-45.216944343628015,-13.319649267106492,13.208614926536402,58.21183467321066,79.21183467321066,78.75013811416969,194.2498618858303
ostium_to_C0,3,ostium,C0,-24.320632621715465,-45.05548994523812,-13.190168283095606,13.076447385343515,59.0,80.03515563938,79.88417646088108,194.0
ostium_to_C0,4,ostium,C0,-24.222682262232244,-44.88029741632539,-13.056523512447724,12.807045098792345,59.0,81.18494537329768,81.12171098942349,194.0
ostium_to_C0,5,ostium,C0,-24.09568419477373,-44.664481135582854,-12.90223669496089,12.537517974302451,59.0,82.33473510721538,82.35924551796592,194.0
ostium_to_C0,6,ostium,C0,-23.939671347441347,-44.40810514381087,-12.727445953007333,12.267866219397591,59.0,83.48452484113307,83.59678004650834,194.0
ostium_to_C0,7,ostium,C0,-23.756845525129865,-44.07293655819933,-12.40943100993357,12.00897003764398,59.0,84.63431457505077,84.58994949366117,193.41005050633885
ostium_to_C0,8,ostium,C0,-23.656760689369147,-43.90427970016337,-12.252144893602406,11.746566045710322,59.0,85.78410430896845,85.65763554122009,193.0
ostium_to_C0,9,ostium,C0,-23.5552454098014,-43.76239835593334,-12.180596662702072,11.476473895608631,59.0,86.93389404288615,86.89517006976251,193.0
ostium_to_C0,10,ostium,C0,-23.45380782806696,-43.62066803650265,-12.109372665861002,11.206257853117334,59.0,88.08368377680384,88.13270459830493,193.0
ostium_to_C0,11,ostium,C0,-23.35244822824289,-43.47908924645186,-12.038473468450434,10.935918129100052,59.0,89.23347351072154,89.37023912684735,193.0
ostium_to_C0,12,ostium,C0,-23.274291001913472,-43.38462309740132,-12.000416550926445,10.641364267744017,58.72899196073604,90.27100803926396,90.60777365538978,193.0
ostium_to_C0,13,ostium,C0,-23.237407386354093,-43.330736321317616,-11.892900997015403,10.316824152668662,58.0,91.11883941618383,91.59772314905094,192.40227685094905
ostium_to_C0,14,ostium,C0,-23.13769721472435,-43.16339287278031,-11.738954584216629,10.053360284445086,58.0,92.26862915010153,92.66862915010152,192.0
ostium_to_C0,15,ostium,C0,-23.036677382859224,-43.02248562520049,-11.66939352888022,9.782527086293241,58.0,93.41841888401922,93.90616367864394,192.0
ostium_to_C0,16,ostium,C0,-22.93573694329823,-42.88173242915866,-11.600160196649682,9.511571306820372,58.0,94.56820861793692,95.14369820718636,192.0
ostium_to_C0,17,ostium,C0,-22.834876181005463,-42.741133789665014,-11.531255149609592,9.240493160839057,58.0,95.7179983518546,96.38123273572879,192.0
ostium_to_C0,18,ostium,C0,-22.734095381104257,-42.60069021181796,-11.462678949284054,8.969292863808386,58.0,96.8677880857723,97.61876726427121,192.0
ostium_to_C0,19,ostium,C0,-22.63339482887674,-42.46040220080451,-11.394432156639056,8.697970631833398,58.0,98.01757781968999,98.85630179281362,192.0
ostium_to_C0,20,ostium,C0,-22.532984564387377,-42.315900508256874,-11.31259912205499,8.427690231712015,58.0,99.16736755360769,100.06635229915247,191.93364770084753
ostium_to_C0,21,ostium,C0,-22.43517332816294,-42.11821428159074,-11.061341545186195,8.171408490021207,58.0,100.31715728752539,100.94142135623731,191.0585786437627
ostium_to_C0,22,ostium,C0,-22.334856512831323,-41.97445906890073,-10.981682489800079,7.900676355751339,58.0,101.46694702144308,102.1546918160678,191.0
ostium_to_C0,23,ostium,C0,-22.234438252610317,-41.83472531643605,-10.91465285936144,7.628799406673601,58.0,102.61673675536078,103.39222634461022,191.0
ostium_to_C0,24,ostium,C0,-22.13410168747319,-41.695149750413094,-10.84795569702996,7.356801515923224,58.0,103.76652648927848,104.62976087315263,191.0
ostium_to_C0,25,ostium,C0,-22.033847103877882,-41.555732877011735,-10.781591561109792,7.084682903603225,58.0,104.91631622319616,105.86729540169506,191.0
ostium_to_C0,26,ostium,C0,-21.932079302121373,-41.41850732977322,-10.726308908881862,6.827021352117188,58.046743970552036,106.04674397055203,107.07412595454224,191.07412595454224
ostium_to_C0,27,ostium,C0,-21.817915578826423,-41.276435774152645,-10.78394224899219,6.770749717343105,58.85976808834391,106.85976808834391,107.94919501162708,191.94919501162707
ostium_to_C0,28,ostium,C0,-21.71872107819128,-41.12758101528068,-10.724263746133033,6.526551102769726,59.0,107.95147186257614,109.16568542494923,192.0
ostium_to_C0,29,ostium,C0,-21.514916354497103,-40.87796739491459,-10.63846231650666,6.2540374503038905,59.0,109.10126159649384,110.40321995349166,192.0
ostium_to_C0,30,ostium,C0,-21.339743649708097,-40.66816771707794,-10.571554989988007,5.981403997196286,59.0,110.25105133041154,111.64075448203408,192.0
ostium_to_C0,31,ostium,C0,-21.193167459275745,-40.49811332466513,-10.523398378966146,5.7086509669052665,59.0,111.40084106432923,112.87828901057651,192.0
ostium_to_C0,32,ostium,C0,-21.06393563852682,-40.3989491275639,-10.545589703126446,5.507563873264936,59.0,112.55063079824691,113.78900639111856,192.78900639111856
ostium_to_C0,33,ostium,C0,-20.976179950969787,-40.303333469269056,-10.52646532810258,5.253848783348931,59.0,113.70042053216461,114.93914450528825,193.0
ostium_to_C0,34,ostium,C0,-20.919324521286995,-40.240560007851705,-10.514567363687,4.992206288945485,59.0,114.85021026608231,116.12493094291516,193.12493094291517
ostium_to_C0,35,ostium,C0,-20.892112003901232,-40.213965334164186,-10.515400235204979,4.7988695626225155,59.0,116.0,117.0,194.0
C0_to_C1,0,C0,C1,-20.892112003901232,-40.213965334164186,-10.515400235204979,4.699013343048844,60.0,117.0,118.0,194.0
C0_to_C1,1,C0,C1,-20.862616624259857,-40.158515314416434,-10.48204995396219,4.672327396575225,61.10867223595124,118.0,118.54404812673197,194.0
C0_to_C1,2,C0,C1,-20.80958085642137,-40.03233925078219,-10.412835973785285,4.729994690091537,62.4465789687491,118.44657896874911,119.06229345822148,193.93770654177854
C0_to_C1,3,C0,C1,-20.7281748433324,-39.8247363118575,-10.273786820018065,4.776957305374698,63.74023027022682,119.0,119.44699357792548,193.5530064220745
C0_to_C1,4,C0,C1,-20.59815419330812,-39.53346679857994,-10.056217675347847,4.772738003079127,64.8931579374982,119.8931579374982,119.83169369762949,193.1683063023705
C0_to_C1,5,C0,C1,-20.47203391122835,-39.18263312832889,-9.841130011342683,4.843821290962531,66.26289403127949,120.26289403127949,120.30602707128674,193.0
C0_to_C1,6,C0,C1,-20.289081600890352,-38.759898165361136,-9.584130071716157,4.856710875668705,67.48046054045363,121.0,120.8500751980187,193.0
C0_to_C1,7,C0,C1,-20.156015992574453,-38.28652659892097,-9.362118888307918,4.980798073366765,69.00334633877796,121.0,121.39412332475067,193.0
C0_to_C1,8,C0,C1,-20.08157451353372,-38.04445155596714,-9.257063685382775,5.048784065976275,70.37210231262333,121.37210231262333,121.93817145148263,193.0
C0_to_C1,9,C0,C1,-19.97829439148982,-37.794687746393336,-9.125631631023111,5.078185631257235,71.63490437305353,122.0,122.4822195782146,193.0
C0_to_C1,10,C0,C1,-19.9331263803131,-37.56007309892607,-9.047362690765539,5.185536037418312,73.11157450018588,122.11157450018588,123.02626770494655,193.0
C0_to_C1,11,C0,C1,-19.800390093791073,-37.302287255698076,-8.888951860970451,5.1756228829731725,74.2664624073291,123.0,123.57031583167851,193.0
C0_to_C1,12,C0,C1,-19.767925925639208,-37.06524588077245,-8.80495883958821,5.301250035864135,75.78934820565344,123.0,124.08086753051539,192.91913246948462
C0_to_C1,13,C0,C1,-19.631420238346802,-36.77963998368969,-8.560341687028938,5.291895093506434,76.92788956271626,123.92788956271626,124.4655676502194,192.5344323497806
C0_to_C1,14,C0,C1,-19.557806229589275,-36.5104522432636,-8.373239708908159,5.366895890556727,78.29762565649754,124.29762565649754,124.8502677699234,192.14973223007658
C0_to_C1,15,C0,C1,-19.40426093852125,-36.21984831382804,-8.112756055054007,5.335011612491316,79.37446853146537,125.37446853146537,125.23496788962743,191.76503211037257
C0_to_C1,16,C0,C1,-19.250568833877715,-35.92894756748146,-7.852006490166701,5.303081263088994,80.45131140643319,126.45131140643319,125.61966800933143,191.38033199066857
C0_to_C1,17,C0,C1,-19.0967296925195,-35.63774955719495,-7.590990619663529,5.271104773284605,81.52815428140102,127.52815428140102,126.00436812903544,190.99563187096456
C0_to_C1,18,C0,C1,-19.011218563792895,-35.36448626456786,-7.39251345377815,5.33072784887338,82.85559518373397,128.0,126.38906824873945,190.61093175126055
C0_to_C1,19,C0,C1,-18.868691893843597,-35.07580470111034,-7.141617691512465,5.314184212978332,83.97473325015012,128.9747332501501,126.77376836844347,190.22623163155654
C0_to_C1,20,C0,C1,-18.71446080895938,-34.783745421348044,-6.879851648854952,5.282128240117569,85.05157612511795,130.05157612511795,127.15846848814748,189.84153151185254
C0_to_C1,21,C0,C1,-18.574643704191125,-34.49527853227593,-6.6311814845911385,5.269508576793048,86.18161189158769,131.0,127.54316860785148,189.4568313921485
C0_to_C1,22,C0,C1,-18.485784964651376,-34.22020076365247,-6.429166371421388,5.325203615143834,87.49815509386706,131.49815509386704,127.92786872755549,189.0721312724445
C0_to_C1,23,C0,C1,-18.331160258053195,-33.92727644162889,-6.16664691454514,5.293067900715589,88.57499796883488,132.57499796883488,128.3125688472595,188.6874311527405
C0_to_C1,24,C0,C1,-18.176387050532327,-33.63405177690339,-5.903858457282126,5.26088568861007,89.6518408438027,133.65184084380272,128.69726896696352,188.30273103303648
C0_to_C1,25,C0,C1,-18.101843566753153,-33.362125072499126,-5.714643558521402,5.336139139710735,91.02157693758399,134.02157693758397,129.08196908666753,187.91803091333247
C0_to_C1,26,C0,C1,-17.946823550601387,-33.068331913467546,-5.451367426651217,5.303923423920979,92.09841981255181,135.0984198125518,129.46666920637153,187.53333079362847
C0_to_C1,27,C0,C1,-17.811601539612916,-32.77961137252581,-5.206155231217281,5.298327536883131,93.24785886966824,136.0,129.85136932607554,187.14863067392446
C0_to_C1,28,C0,C1,-17.716512985804478,-32.51816113705409,-5.049022557338276,5.342933699457209,94.54499878130092,136.54499878130093,130.33385261188334,187.0
C0_to_C1,29,C0,C1,-17.631400766742164,-32.26976497187076,-4.933340654037494,5.398699665269093,95.87941690394382,137.0,130.87790073861532,187.0
C0_to_C1,30,C0,C1,-17.48550940735136,-31.983630939092592,-4.6968280538270335,5.37790687220575,96.99157775005003,137.99157775005003,131.29836290400104,186.70163709599896
C0_to_C1,31,C0,C1,-17.337684856265405,-31.69060408883699,-4.43963466230494,5.356000585375721,98.0967613758463,139.0,131.68306302370505,186.31693697629495
C0_to_C1,32,C0,C1,-17.254715332552074,-31.419740895911517,-4.256764311832001,5.4198327249927605,99.43815671879914,139.43815671879915,132.09583155643813,186.0
C0_to_C1,33,C0,C1,-17.15715245210162,-31.167297298222365,-4.129466314548296,5.459360487059277,100.72831941012187,140.0,132.63987968317008,186.0
C0_to_C1,34,C0,C1,-17.022650861775446,-30.904656688254065,-3.9681378421466036,5.449641715398203,101.88473568754824,140.88473568754824,133.18392780990206,186.0
C0_to_C1,35,C0,C1,-16.946919471684517,-30.657875582483683,-3.8609198138671275,5.518483286507903,103.25447178132951,141.25447178132953,133.727975936634,186.0
C0_to_C1,36,C0,C1,-16.79052986084838,-30.375184583512834,-3.637394044284008,5.482754347603029,104.33131465629735,142.33131465629737,134.192350059852,185.807649940148
C0_to_C1,37,C0,C1,-16.68092865131938,-30.091277760499793,-3.4148830997475557,5.512652023762176,105.57722191629993,143.0,134.577050179556,185.422949820444
